wkt_geom,_record_id,_title,_server_up,_project,_assigned_,_updated_b,_latitude,_longitude,name,address,time,building_n,room_numbe,open_after,student_ru,total_numb,takes_cash,takes_watc,takes_debi,takes_cred,coffee_pri,coffee_p_1,coffee_p_2,tea_price_,chocolate_,can_of_pop,other_prod,muffin_pri,chocolat_1,atmosphere,photo_of_l
Point (-80.54537847960000363 43.47142268719999691),381d7467-b6d3-4a67-bb37-a8e738ccefb7,International News Grab & Go,2018-09-24 16:49:52 EDT,,Amman Bhatti,Amman Bhatti,43.47142269,-80.54537848,International News Grab & Go,Ring Rd Waterloo ON N2L CA,16:39,SLC,,yes,yes,168,yes,yes,yes,yes,1.42,1.57,1.71,1.52,1.73,2.18,"Candy,Chips/Snacks,Chocolate Bars,Cookies,Hot Food,Muffins,Salads,Sandwiches/Wraps",1.53,0.84,7,https://web.fulcrumapp.com/photos/view?photos=e59278d8-f0af-468a-a5cb-9a936f007df5
Point (-80.54142639239999824 43.46844229530000092),0cbac859-a12d-4dae-bae0-ed7187838e29,Liquid assets,2018-09-25 14:55:23 EDT,,Nai Ahj Bjorn Faguharson,Nai Ahj Bjorn Faguharson,43.4684423,-80.54142639,Liquid assets,Ring Rd Waterloo ON N2L CA,10:29,Hagey hall,,no,no,0,yes,yes,yes,no,1.95,2.25,2.45,2.25,2.79,1.99,"Candy,Chocolate Bars,Hot Food,Muffins,Salads,Sandwiches/Wraps",2.19,0,5,https://web.fulcrumapp.com/photos/view?photos=eaf5b3fd-cda6-4614-bf99-41ac56f0031c
Point (-80.54348110739999811 43.47182514360000027),56cbc0b8-9262-4efc-9442-0b584e14b341,Math Coffee and Donuts,2018-09-24 16:48:38 EDT,,Lisa Tram Nguyen,Lisa Tram Nguyen,43.47182514,-80.54348111,Math Coffee and Donuts,200 University Ave W Waterloo ON N2L CA,16:31,Mathematics and Computers,3002,yes,no,52.5,yes,no,yes,no,0.8,1.05,1.35,0.075,1.75,1.75,"Candy,Chips/Snacks,Chocolate Bars,Cookies,Donuts,Hot Food,Muffins,Salads,Sandwiches/Wraps",1.3,1.1,6,https://web.fulcrumapp.com/photos/view?photos=3c545a9b-62a8-4e6f-8f88-000bc561e967
Point (-80.53554769999999507 43.47289310000000029),bd62b469-c44d-4cb4-ab35-9f207f6fa182,Mel's Diner,2018-09-21 17:39:57 EDT,,Matthew Jordan Gajewski,Matthew Jordan Gajewski,43.4728931,-80.5355477,Mel's Diner,140 University Avenue West Waterloo Ontario N2L 6J3 Canada,17:26,Mel's Diner,,yes,no,127,yes,no,yes,yes,2.49,2.49,2.49,2.49,2.99,2.99,"Chips/Snacks,Hot Food,Salads,Sandwiches/Wraps,cakes, waffle, pie",0,0,9,https://web.fulcrumapp.com/photos/view?photos=8ae13427-4ca6-4eab-975c-90299f9e7941
Point (-80.54978880000000174 43.47158360000000243),fa23f6a8-9698-41e7-9035-d1301027bfa1,Mudies,2018-09-25 18:31:04 EDT,,Kieran Magee,Kieran Magee,43.4715836,-80.5497888,Mudies,200 University Avenue West Waterloo Ontario N2L 3G1 Canada,17:34,V1 Cafe,,yes,no,122.5,yes,yes,yes,yes,1.95,0,2.45,0,1.99,1.99,"Candy,Chips/Snacks,Chocolate Bars,Cookies,Donuts,Hot Food,Muffins,Salads,Sandwiches/Wraps",0,0,5,"https://web.fulcrumapp.com/photos/view?photos=02f8a435-f652-49d8-8785-54f8ad25ebf6,7ae842c2-27ec-45d4-a7dc-f8a1b839d5b1"
Point (-80.53506120490000342 43.47266626599999739),0398d9d8-dc05-41c2-abaf-7be34f48aa69,Onezo Tropical,2018-09-21 17:15:16 EDT,,Leqi Wang,Leqi Wang,43.47266627,-80.5350612,Onezo Tropical,140 University Ave W Waterloo ON N2L 6J3 CA,17:07,Campus Court,,yes,no,86,yes,,yes,yes,3.99,4.89,5.19,4.99,0,0,Boba tea,0,0,9,https://web.fulcrumapp.com/photos/view?photos=e435f064-5d11-4340-8805-d9df40658f50
Point (-80.54032358780000322 43.46920087920000242),fd546682-efbb-41cf-ae62-3e4b2b2c3dcb,Pastry Plus,2018-10-01 03:30:18 EDT,,Sagaana Uthayasekaram,Sagaana Uthayasekaram,43.46920088,-80.54032359,Pastry Plus,Ring Rd Waterloo ON N2L CA,10:47,TC,,no,no,0,yes,yes,yes,no,1.95,2.19,2.29,1.89,2.69,0,,2.19,1.19,4,https://web.fulcrumapp.com/photos/view?photos=1bdbebd6-a3ee-4010-a26f-276dfb29e063
Point (-80.54192429680000487 43.46801365660000016),f669f372-894d-40a8-b871-69a264dacb33,Planet Bean Coffee,2018-09-24 10:27:57 EDT,,Apiraam Jaseharan,Apiraam Jaseharan,43.46801366,-80.5419243,Planet Bean Coffee,200 University Ave W Waterloo ON N2L CA,10:20,Hagey Hall,,no,,32.5,yes,yes,yes,no,1.95,2.25,2.25,2.25,2.69,1.99,"Candy,Chips/Snacks,Chocolate Bars,Sandwiches/Wraps",2.19,1.19,7,https://web.fulcrumapp.com/photos/view?photos=da2204dc-ab44-49ea-a485-8880f2f6b1d7
Point (-80.54746959999999945 43.46870450000000119),a83376a2-d62e-44f7-8504-c244f39c4b85,Renison University College Cafeteria,2018-09-25 16:57:50 EDT,,Daanish Mahmood Malik,Daanish Mahmood Malik,43.4687045,-80.5474696,Renison University College Cafeteria,240 Westmount Road North Waterloo Ontario N2L 3G5 Canada,16:51,Renison University College,,yes,no,75.5,yes,yes,yes,yes,1,1.66,1.76,1.66,2.38,1.66,"Candy,Chips/Snacks,Chocolate Bars,Cookies,Hot Food,Muffins,Salads,Sandwiches/Wraps",1.09,1.09,7,https://web.fulcrumapp.com/photos/view?photos=0e81bfc3-55f9-497b-a7c0-6cdafdaf3095
Point (-80.54296549999999399 43.47095159999999936),53a1e36e-9b02-4ff1-961f-dff7e448cb20,Science Coffee & Donut Shop,2018-09-24 17:19:56 EDT,,Yukun Sha,Yukun Sha,43.4709516,-80.5429655,Science Coffee & Donut Shop,Waterloo Ontario N2L 3G1 ???,17:16,Science Teaching Center,,no,yes,28,yes,yes,yes,yes,0.5,0.75,0.75,0,0,0.75,"Chips/Snacks,Cookies,Donuts",0,1,3,https://web.fulcrumapp.com/photos/view?photos=7d03b7be-a3f0-4b62-84b7-8f082834d786
